image,label,x,y,width,height
1002.jpg,Illustration,0.481927710843374,0.751956181533646,0.273092369477912,0.146322378716745
1002.jpg,Illustration,0.475903614457831,0.596244131455399,0.246987951807229,0.175273865414711
1003.jpg,Illustration,0.591880341880342,0.435119887165021,0.636752136752137,0.407616361071932
1004.jpg,Illustration,0.372033354714561,0.543175487465181,0.189223861449647,0.235177079188221
1005.jpg,Initial,0.276237989652624,0.1345227980742,0.113451589061345,0.180402152364769
1006.jpg,Illustration,0.58433734939759,0.694411414982164,0.409638554216867,0.249702734839477
1006.jpg,Illustration,0.552208835341365,0.243757431629013,0.439759036144578,0.319857312722949
1007.jpg,Illustration,0.366,0.349419670128283,0.469,0.289554062309102
1008.jpg,Illustration,0.326013513513514,0.481786133960047,0.368243243243243,0.245593419506463
1014.jpg,Illustration,0.365642237982664,0.61268620855358,0.480693459416864,0.293128303700144
1015.jpg,Illustration,0.485,0.396329027872196,0.808,0.560163154316791
1016.jpg,Illustration,0.451366120218579,0.576603773584906,0.703825136612022,0.420377358490566
1018.jpg,Initial,0.214666666666667,0.13427734375,0.134,0.09814453125
1018.jpg,Initial,0.200666666666667,0.4345703125,0.123333333333333,0.09521484375
1020.jpg,Illustration,0.650617283950617,0.122222222222222,0.241975308641975,0.116239316239316
1022.jpg,Illustration,0.377571601452199,0.366020524515393,0.209762000806777,0.0287913340935006
1022.jpg,Illustration,0.339249697458653,0.307582668187001,0.222670431625656,0.0233751425313569
1022.jpg,Illustration,0.72851956434046,0.565849486887115,0.18354175070593,0.0410490307867731
1022.jpg,Illustration,0.672448567970956,0.499714937286203,0.197660346914078,0.023945267958951
1022.jpg,Illustration,0.679306171843485,0.218928164196123,0.248083904800323,0.0476054732041049
1022.jpg,Illustration,0.622831787010892,0.4615165336374,0.207745058491327,0.0248004561003421
1022.jpg,Illustration,0.841871722468737,0.158494868871152,0.138362242839855,0.0362029646522235
1023.jpg,Illustration,0.469924812030075,0.503985285101165,0.799812030075188,0.507050889025138
1026.jpg,Illustration,0.458207452165156,0.603174603174603,0.911379657603223,0.578144078144078
1027.jpg,Illustration,0.699683042789223,0.674539170506913,0.365293185419968,0.26094470046083
1030.jpg,Initial,0.193099504384293,0.53338784409921,0.0968356843309188,0.0756336876533115
1035.jpg,Illustration,0.267080745341615,0.402777777777778,0.302795031055901,0.21875
1036.jpg,Illustration,0.394331983805668,0.396304849884527,0.451821862348178,0.262355658198614
1040.jpg,Initial,0.290178571428571,0.388793840889649,0.1875,0.127031650983747
1041.jpg,Decoration,0.589160839160839,0.618336025848142,0.569347319347319,0.204361873990307
1043.jpg,Illustration,0.411881977671451,0.662521198417185,0.370414673046252,0.330130016958734
1045.jpg,Illustration,0.762962962962963,0.188110026619343,0.305723905723906,0.196539485359361
1045.jpg,Illustration,0.384511784511785,0.18944099378882,0.283501683501684,0.193433895297249
1046.jpg,Decoration,0.434852763210972,0.292759407069555,0.151270673658733,0.048460661345496
1046.jpg,Initial,0.220653489310206,0.410205245153934,0.296893908834207,0.20096921322691
1047.jpg,Initial,0.584677419354839,0.13384703196347,0.0899193548387097,0.133561643835616
1049.jpg,Illustration,0.61,0.531128404669261,0.576,0.178988326848249
1049.jpg,Illustration,0.613,0.374189364461738,0.343,0.157587548638132
1049.jpg,Illustration,0.595,0.6621271076524,0.636,0.0966277561608301
1051.jpg,Illustration,0.246839654025283,0.585,0.274118429807053,0.2125
